AVGDAYSTOISSUE,CANCELTYPE,NUMBERISSUEDINTARGETDAYS,TOTALNUMBER,TOTALVALUE,YEAR
57,,364,1345,35000,2016
45,,465,1602,145000,2017
41,,588,1767,0,2018
38,,544,1636,0,2019
71,,542,1583,110000,2020
